SNo,District
1,Barguna
2,Barisal
3,Bhola
4,Jhalokati
5,Patuakhali
6,Pirojpur
7,Bandarban
8,Brahmanbaria
9,Chandpur
10,Chittagong
11,Comilla
12,Cox's Bazar
13,Feni
14,Khagrachhari
15,Lakshmipur
16,Noakhali
17,Rangamati
18,Dhaka
19,Faridpur
20,Gazipur
21,Gopalganj
22,Jamalpur
23,Kishoreganj
24,Madaripur
25,Manikganj
26,Munshiganj
27,Mymensingh
28,Narayanganj
29,Narsingdi
30,Netrakona
31,Rajbari
32,Shariatpur
33,Sherpur
34,Tangail
35,Bagerhat
36,Chuadanga
37,Jessore
38,Jhenaidah
39,Khulna
40,Kushtia
41,Magura
42,Meherpur
43,Narail
44,Satkhira
45,Bogra
46,Joypurhat
47,Naogaon
48,Natore
49,Nawabganj
50,Pabna
51,Rajshahi
52,Sirajganj
53,Dinajpur
54,Gaibandha
55,Kurigram
56,Lalmonirhat
57,Nilphamari
58,Panchagarh
59,Rangpur
60,Thakurgaon
61,Habiganj
62,Moulvibazar
63,Sunamganj
64,Sylhet
